N,P,K,temperature,humidity,ph,rainfall,label
3,55,153,40.39075082271938,73.7922224649673,9.187021399081999,230.82041848136123,rice
53,15,142,30.62265047507563,26.224113409420923,5.70279701186159,138.877146697836,groundnut
43,16,114,23.79136466369544,69.02066733505633,8.946091671314921,254.45168147086503,maize
13,78,82,9.395249679950568,18.70287738478944,5.327814993761461,265.73888404457705,groundnut
94,12,105,25.983740067368164,49.03487600424607,6.759320566202965,103.92425572185897,cotton
47,45,150,35.53194471650321,29.257214430421683,3.6228625001731873,250.56622629308058,rice
14,89,146,17.560073528446893,23.428720298026033,6.631250662241461,63.193995898242015,wheat
39,76,166,37.04384850735562,62.76481938110557,7.321652063663782,113.57507923031773,sugarcane
81,59,132,17.065043577831734,93.83687639248348,4.905830596023067,165.0301863139889,groundnut
110,141,62,37.654869966228816,18.7116861214252,6.9736230572321425,83.4042533890898,wheat
52,51,80,11.069660298020386,50.25366534675094,7.383006632305913,182.1949922810558,groundnut
23,108,154,39.18261351928506,74.84804764610816,7.621316470290539,182.03462204094103,maize
123,46,202,25.970712233599897,53.79115352515312,8.158419932132619,77.9328105582536,wheat
40,64,40,18.67535322632943,83.35865136505109,5.368035457576499,242.77957656792788,groundnut
14,16,177,17.544077014945355,29.449497164315325,6.90666173859127,196.86045703521913,groundnut
44,134,168,23.552380121493055,96.52510163238568,9.389474178587566,108.9729419109872,sugarcane
64,11,26,43.96578193173122,47.123985988438484,8.888865023990943,85.01173937168174,wheat
88,84,131,15.931786163752973,43.37498843320766,9.215992568590199,266.0500388736582,groundnut
70,135,84,11.715799359643986,89.21609832727226,5.816818391171428,254.00782866290274,groundnut
8,113,193,29.061266073871828,62.492564742691926,8.22156863537997,84.33298895954736,wheat
87,7,104,25.587528791849255,58.41421340364265,7.219387710562087,29.969463424622454,wheat
128,31,188,26.871065758279066,76.52010107944506,3.9964104983734465,245.26912680807467,rice
135,118,100,32.00967503205982,63.865744492173775,8.443882334942392,192.34239547421208,maize
62,111,165,17.617186515343377,27.976345449111918,7.562607658144188,48.246967854968716,wheat
138,44,177,40.783939833819986,71.98099556638395,4.693504157091601,184.46029774129065,maize
80,133,168,23.684194380402452,25.478323618263047,3.978431344576768,146.6111519012744,sugarcane
135,12,152,12.647103025128624,83.30376265872933,8.522132783889983,236.87409169263364,groundnut
32,105,22,34.722755242422,99.11734740325531,3.973410976947206,78.5437558044444,wheat
122,128,42,31.15175669424261,46.45533574783076,4.04812319219862,146.88388840540742,cotton
4,111,199,19.366762489425334,52.24900724537308,6.064449727425892,63.74835199053669,wheat
40,105,155,30.374674065225747,17.99329437152186,4.308786970516863,288.1076237870371,rice
27,8,113,15.915030429283167,15.181054175101732,8.982017584656315,238.04668393904595,groundnut
134,114,127,24.014216936259064,93.24206279936418,6.32170361757942,226.28227942039103,maize
71,23,148,40.378850798023706,25.061669197770517,6.914905883927429,213.25786620582454,rice
11,36,191,12.807232393786979,52.336972290114446,9.068636536868524,138.53420389058687,groundnut
32,141,201,21.921072199548632,84.12049765157829,6.681579353830092,278.5190763968805,maize
47,16,200,37.5611272899325,90.48141335383548,5.6215468757439115,40.41676333956151,wheat
61,143,153,42.901672378622415,58.66820093437822,8.282930634894992,244.9125400701065,rice
36,50,108,24.341340911184652,62.592797147931684,6.157101184851264,80.26516498960515,wheat
98,123,202,26.25198632516051,71.59282163184143,5.410816553613833,110.72782757747744,cotton
103,20,144,28.59819062421571,96.67889243235952,7.839376751633207,165.44032411084632,maize
34,133,148,41.56453309881359,65.82961664122743,8.309634059678258,239.14340309556226,rice
100,67,85,38.89544447517307,62.114872313245776,8.25029700550563,254.78977414304626,rice
130,113,91,14.141640486379195,15.249935632875198,9.366046484772244,183.44503004483497,groundnut
0,123,146,23.723281442494702,20.961674373922623,8.220001693249776,132.84993690171186,sugarcane
4,25,65,24.704015415071346,63.63675988966368,8.119600615692118,285.0206779928988,maize
102,17,203,36.40746001935524,94.51667335141947,8.64491152241732,89.02596283502314,wheat
26,8,50,29.70414377379567,88.53545596234797,3.501111171772657,244.8664812465779,rice
136,106,36,31.551936633044466,98.50178737732959,5.674588467126624,191.3738940054829,maize
14,63,19,43.93519667596223,59.39372723026956,7.925618576206532,125.53060472785985,sugarcane
89,132,48,10.698561564920471,81.76206070564795,7.098314066661664,20.383035621790306,groundnut
41,31,149,16.028353647214388,86.27442850808328,4.565432015789706,145.0478043776155,groundnut
123,73,173,22.684253745375685,69.7307225304541,5.322398534531272,97.4815993118438,wheat
62,29,58,20.52016650975994,43.13249176244762,5.520755666492641,49.21705173115697,wheat
95,135,48,8.779240208491409,54.41814538057032,6.906968667033896,41.04439829466376,groundnut
51,101,102,11.30399383296233,87.78086821294683,8.489589778646458,117.31633164724855,groundnut
95,29,9,32.514318490528744,39.6751216344661,9.094950678666079,192.1320688473816,maize
131,130,113,39.65568068105218,93.44190928893177,8.000554477121835,254.50540830213663,rice
28,137,31,26.512172405575193,33.7633453623492,8.557702341060859,71.39770858525154,wheat
35,13,120,27.410878862490787,78.45841170348314,6.3205757507090965,138.90031196653388,groundnut
12,120,91,17.183363581965658,68.22809415373351,5.838651917733724,129.74771923980262,groundnut
70,138,108,35.64354909081361,78.46555193638555,5.856251192865302,163.75032257838438,maize
85,64,127,35.06460514522123,51.61189122920315,7.196231170039742,246.6844358266748,rice
27,125,83,29.18116481183564,94.20713137964268,4.245420233334854,175.02066103978575,maize
65,143,47,15.655914314408342,68.39260940738706,6.9769650967415675,257.06337578064233,groundnut
44,112,101,11.49265585653522,38.79343919166604,7.490797161102353,165.19449169931377,groundnut
61,112,35,10.312588730856532,68.90713607608436,6.1334524412374325,189.077262250756,groundnut
133,135,103,29.3370583991436,38.666154259804685,9.219003060627005,142.46730789803712,cotton
27,80,21,37.7012714891408,39.25238569134918,7.149279634277452,250.46676248277743,rice
27,34,87,38.89989554411329,48.36547199939464,4.819996833419751,278.67161778210277,rice
107,25,114,24.690394676364193,87.30901591094423,6.375297544601097,198.96052667448078,maize
43,38,186,36.23376677504181,57.025617197883314,7.552426622811764,249.8190857684131,rice
83,45,194,42.08768706827685,72.38547243179784,5.441774747482874,36.520933519748084,wheat
29,55,36,17.906124049570447,47.70922566360382,3.9778496377341392,273.7112904050641,groundnut
74,86,172,22.32657246970726,36.670067823391804,7.00061380826531,72.89901871495488,wheat
127,62,145,41.533243733480504,96.0990538215959,9.18722101171808,91.82571965122622,wheat
91,79,39,20.176314823422253,65.90798725258338,6.410431913379043,34.932419097888946,wheat
128,27,137,40.89954645158467,94.31981511811377,8.936654483882227,290.3120327527365,rice
120,132,33,43.317615041160764,31.493518189055095,8.510141530230165,258.5630378567454,rice
26,21,74,31.82518622867929,26.632898096512214,4.3844767018039,275.69168914550346,rice
120,73,157,37.408050422150055,87.60077001265572,7.749019531013425,257.2205269728042,rice
115,112,99,34.983640311959064,72.55888028508363,6.11279315043187,154.26855476196087,maize
2,143,26,33.18323327415885,30.045750935813157,5.0014779515776215,278.74294154541377,rice
102,98,198,19.049518627324375,37.164934257064246,7.621630134000219,291.4523897196127,groundnut
136,19,177,10.055396164685973,82.85709897117675,7.955964311938528,160.7187535010313,groundnut
61,95,73,20.34986237070742,53.032701319650506,4.579377912409033,69.17493877207468,wheat
50,37,93,32.009695467340634,71.66648355952381,8.98666809233725,204.4143025096664,rice
58,129,76,11.69105113620085,41.378273903696936,8.006883463708647,293.12272115899975,groundnut
117,20,133,8.429047387216716,46.7857759386394,9.100252994851813,264.20112076048497,groundnut
95,70,176,13.028925413705792,99.20128004158703,5.402439312582146,261.3082493208541,groundnut
112,51,91,33.766493350788636,35.29506949702579,9.136010094457921,281.46904470603897,rice
61,128,100,43.02057325963198,57.555248425140206,5.711105947030285,270.30663295471317,rice
51,5,79,43.390329186133535,86.61860151438577,3.8238185685643504,237.35886592512202,rice
11,91,171,25.783249369046764,34.573196375263784,8.077816332254141,221.11639300531164,rice
38,132,58,39.29668283572451,49.70838307485244,7.7210488645300455,94.13480864853122,wheat
129,71,92,34.52575240705414,66.897850713819,7.087465953579994,193.9752059999658,maize
130,8,161,26.037448531445722,55.38218102685882,6.4393624663050435,166.01681407764906,maize
112,51,58,28.619379186383124,53.5171949250473,3.6929916219357883,261.3443456426775,rice
100,42,20,12.940177278207358,45.17583689370263,7.2475835091209255,157.67952057722016,groundnut
112,25,103,41.755812582197315,64.45158418864355,6.001007691336762,55.76797379195295,wheat
80,61,24,20.669471746343966,67.69605202143049,6.86125641644567,21.39229589025777,wheat
112,121,50,24.061373232458102,70.18290051751718,6.075928051805818,209.80447373122627,maize
1,50,199,32.179768315924356,20.051657279918523,9.296336796591195,173.97434839560523,maize
129,43,197,20.020488974955942,68.26893911123621,7.124653406905082,112.66961322036553,groundnut
53,141,131,17.1533297956015,95.97839737518602,7.995417983614804,67.3122020106093,wheat
86,103,62,30.717778157727942,60.524816255415196,9.1180816848265,150.6802902730926,maize
128,81,185,8.899426962146581,75.512969095795,7.049595937500438,48.080212294093585,groundnut
125,119,115,33.94610403296044,61.87897846729273,3.5723751069344045,114.11037698192007,cotton
129,138,133,26.50484131555435,87.50769319891016,3.705750069863254,126.17933374597763,cotton
52,95,85,29.80713429875364,93.94414613539092,7.714030604611171,150.3732345546294,maize
67,102,198,30.747685732887863,29.8429113394869,5.174510816907701,150.6538103748771,maize
122,124,161,26.973805633732294,51.56996314391289,6.976278364087692,91.96158017279762,wheat
37,50,88,28.971215987866493,47.74486068021403,4.713663086544013,258.0590748485565,rice
23,42,74,32.61637523203548,48.84850060373797,5.121493250370285,119.55218175188877,groundnut
68,104,12,35.11227849846827,24.79507958559733,6.5278463356884515,84.28444648990457,wheat
115,76,33,34.18828608630034,83.97095243434185,9.353416780136492,69.22676735496526,wheat
97,39,116,39.306192478361424,17.07589689928443,7.19762293525515,110.32195046093396,cotton
138,34,183,14.819963594026499,59.42748826453549,9.11688862707814,38.914807233709624,groundnut
96,82,165,22.441326901704713,70.92154137184345,9.256279126321685,29.214106434672065,wheat
123,88,135,42.12065837652045,31.84237167306344,4.748659978523045,189.43981510480296,maize
69,117,192,22.27726067790787,91.90311652049643,5.367161614813667,193.3611980937732,maize
92,29,167,12.495322768613216,86.11523180413221,8.119953687312226,168.2846967387211,groundnut
2,92,201,26.916024549038465,54.51320073561757,8.700584013748063,233.4398546648828,rice
89,18,112,11.941675011960637,49.35880818125193,6.615360465137167,30.962152397581836,groundnut
95,106,113,15.302716594203147,34.34484156815461,9.459356403683294,282.07247029865096,groundnut
51,87,24,43.93947523655444,76.77941731946687,3.569433192531622,46.618234511976944,wheat
127,114,77,27.48905498226075,25.329966768348918,5.297555933511294,208.7264384302062,rice
38,135,171,18.226102005455445,72.50044683056535,7.238970522467479,57.351044903426605,wheat
81,23,8,43.81189836466062,86.45130080618357,6.3157394656248975,266.37352132618184,rice
103,32,23,42.796121067985155,33.64855552886404,4.199617798572804,162.99972034460876,maize
128,75,106,23.86660547903349,88.51275664929304,5.706722512883381,43.042191485033285,wheat
10,67,177,17.374511916364703,16.865795151797727,3.652682859770234,192.6827515560206,groundnut
41,77,175,38.182386971318834,92.49971514324118,7.3564762764516765,22.550784287016462,wheat
98,128,145,33.762345810984286,24.17915159521163,8.856455257978132,237.28620996326848,rice
6,123,145,32.72989166012637,69.5352893026708,8.809244742700752,202.16379626091455,rice
89,125,192,40.152094687609015,35.50709232659899,7.6972668425932795,79.53492982178204,wheat
111,23,189,32.81901681936769,85.94350564058678,6.294621172987565,124.93025652930623,cotton
59,124,90,18.216725949495768,58.05783103873012,6.572189712148939,22.185874456889273,wheat
112,65,56,32.97907382752636,25.63074244719912,4.3215129439739774,214.2314681919374,rice
1,34,115,19.009286406211903,63.105275134034144,5.546102558715218,110.34707850272139,groundnut
128,13,185,35.33260326765182,49.077904476940546,4.626368452989642,180.04489628308136,maize
47,68,113,30.310922761696375,70.88451222872669,8.427201220099727,287.8837358160496,rice
139,124,90,10.78681587145102,89.84368248965751,8.988523408027758,103.85067962532379,groundnut
36,56,47,26.462073047665115,49.207465281773985,6.7215395685207024,297.26660754444913,rice
8,93,204,20.358834891046673,38.92973843991193,7.866584243077664,197.1639480821186,maize
98,57,204,19.828542778362593,15.248298129374357,4.228788625442765,87.7848265599414,wheat
47,82,46,29.68122688558126,63.43615725594924,7.1512078596634305,142.29780724595219,sugarcane
130,45,94,19.603693680899298,48.59562999910328,7.716746128267076,227.32687426740512,groundnut
53,72,119,35.968174935375416,46.21983283527527,6.216608777068405,145.01381415126275,sugarcane
119,12,30,10.54849169640228,29.732437630442277,4.9596385068241915,39.18211885563467,groundnut
115,6,155,31.773977086249715,50.98475968644959,8.76424712324835,67.20902518711185,wheat
74,109,47,37.13101293164269,98.66200800816968,7.957452319722335,241.56336881950475,rice
112,129,81,32.221940837135485,39.60685721581301,8.89914369109517,201.54446120105717,rice
103,114,160,25.900251020719846,65.57457955309661,8.410415884986941,179.55113365299744,maize
83,90,141,42.211052494502525,80.77787179314734,9.442246577473176,66.93415181151236,wheat
111,124,24,18.79778563273029,78.42757279318172,4.653036399286694,254.572084698095,groundnut
98,131,188,8.6900439508992,42.2745887243628,4.0204866068238445,289.00723068415004,groundnut
92,20,43,23.55161737268387,66.53396718244913,5.522016748023551,31.448387297387473,wheat
127,66,183,9.18842969241178,88.92876293323351,4.274025050139553,41.848923783079485,groundnut
109,117,16,42.341723090950715,15.328478785044704,6.638780677437346,267.72286092807815,rice
81,16,187,15.557049646929855,51.47315468852446,7.298173432446455,248.35463112899592,groundnut
53,39,15,36.40137286215966,33.28751396880385,6.969731691040423,193.02164754316223,maize
67,15,158,35.88459499427714,47.42237697430015,5.055440812341621,284.59025851611864,rice
32,68,46,15.838240388585607,49.775106285870784,8.95294418581278,201.0005618377609,groundnut
20,54,159,30.364155097286023,78.21370297165078,3.6270341824122707,80.47587720426094,wheat
47,73,15,9.730842865512209,22.06868102600811,5.5880801225809575,224.01985064073205,groundnut
127,52,42,25.40868508533923,58.0822156693959,7.813954852388366,200.79889652877844,rice
135,24,102,8.527296581809523,62.5207520946921,8.101573558094957,296.0085165628082,groundnut
134,105,175,41.16117968651031,56.49755390545518,5.996711266591159,79.8908061849417,wheat
127,141,23,43.13909687118458,76.94109976339394,3.6014588795382023,187.40778218152772,maize
32,72,196,16.00217959898907,47.00604800798887,7.208262074742424,238.44690622303432,groundnut
114,39,138,15.49181724546942,95.26716747304654,3.8785680870992945,114.91526501468782,groundnut
118,69,178,35.13392635623667,55.435096058348954,4.147134656921087,126.31028326750655,cotton
21,12,120,17.12165835785604,63.12439622687259,7.40150431787714,268.61251473192976,groundnut
37,49,117,40.22275612982642,84.99565080782045,5.3749299568571285,133.17456629048678,groundnut
108,91,174,28.66144890042736,37.670305110076534,5.5881809162495175,194.92519853077204,maize
50,80,69,20.627994428371238,20.467374473601012,6.42084246189946,268.98667850751116,maize
7,80,103,37.97697486857912,74.8694221391735,9.371470369156244,78.75144326535718,wheat
26,51,76,25.762641214882226,55.539019577160566,9.292653324432262,294.9256429787296,rice
26,19,191,40.81878489350512,91.09936558247355,5.997565996160451,216.5469895116912,rice
20,109,56,41.408512522257716,98.51048419012933,5.092995303309693,158.91407435960454,maize
29,30,122,13.955125476622737,48.32340414942671,5.315552915984695,140.65775801827937,groundnut
96,56,179,8.08364262074949,49.727755398330835,5.112687788969625,287.22209235442125,groundnut
27,97,124,43.42151384512648,49.08478378969247,6.6934748428506845,77.60295170830659,wheat
110,25,11,40.620951300589255,41.91165343685965,7.141158846805571,107.27131191686917,cotton
60,55,15,9.996028485338291,81.22509040791019,6.432676329377996,106.18197155341892,groundnut
47,42,107,37.989233501878516,79.27363557420257,5.947966173488914,100.92177372564977,groundnut
3,24,65,24.480977572131437,55.163458867345135,4.767710225419627,151.19065266039297,maize
34,136,72,17.322617780899108,17.840864608585292,6.39503354829268,296.9701853149933,groundnut
48,59,157,39.63487485236948,40.622099930124314,5.546616282814748,268.86029468054085,rice
16,96,144,15.08002036605106,39.13806200371603,6.749572776790058,111.82587913001612,groundnut
45,32,158,42.10279997912241,83.75350317322223,7.551136493069744,138.40363240443855,groundnut
116,8,106,15.40237355717628,21.531499313791027,7.2998730466196635,207.45460898806078,groundnut
5,80,114,30.092594758234767,83.28808259767256,6.27494126243356,24.80247059505195,wheat
98,71,144,16.031108043043094,71.5497940891263,6.836314545679766,249.6430244319814,groundnut
123,90,175,27.64407193887085,76.98996548521863,5.209136785764558,266.34345604733744,rice
36,95,55,32.62310467694509,51.17033413231202,3.6454415541343383,260.0160936108695,rice
23,109,121,14.848205509524952,72.4564184561512,7.250116725008625,125.01522832795013,groundnut
92,5,169,26.75188817722445,66.37648924479475,5.015411354826122,149.35986206197828,cotton
45,76,50,24.886150798044284,80.13229678966213,7.513722260409647,23.468730133051633,wheat
94,91,57,10.557347170520284,52.422205764269684,7.982050997581756,131.83069745219422,groundnut
98,10,92,37.4590814363109,54.66300374108201,8.995566476622686,148.91951026264843,cotton
115,65,125,20.084566423142302,69.34755515562453,9.248736772877677,273.952802059174,maize
66,16,17,28.684959111867663,23.294664455309395,3.5631562778582087,270.31654865202927,rice
127,10,93,26.53223245759284,51.51702255933129,9.442245256127825,290.5071779446147,rice
17,31,129,26.47737816453592,97.58777269234328,7.598109910964966,267.8293958253457,rice
24,140,122,11.860006191505548,17.229499525163924,7.3611449622451355,22.296198639740773,groundnut
53,128,58,23.24535233297598,41.176406166509864,3.5912785711721327,199.6090386530215,maize
57,110,189,24.285203331436527,41.013444441685884,8.667400471320425,39.10655126885142,wheat
66,97,120,34.41114225312015,68.47791425427644,4.372948683486959,96.32640018639592,wheat
103,113,122,38.240677949145145,23.098830910476032,8.523980923598245,181.9261362517625,maize
23,103,8,27.619362011600646,68.05478665558206,3.593375277552296,216.17186915411088,rice
113,39,79,11.124186346339657,22.17346069603927,7.375785574994968,203.29696725678667,groundnut
31,88,53,16.526580941475665,22.166013677976466,6.108809202618967,33.7363428744201,wheat
85,60,11,13.93762496669832,76.62376871820948,4.70460037435601,49.00908347947457,groundnut
126,53,114,12.48614227480849,41.87562494962049,4.145368350622604,56.00430762075655,groundnut
129,50,126,21.172374750241072,98.05837350338231,6.140766179277959,45.59602549551351,wheat
16,117,15,16.258166077557753,17.212352533457725,4.239834831928548,69.90563851541023,wheat
103,140,96,15.858912025214442,52.279173079747494,6.418679670146285,212.7765815672366,groundnut
136,47,186,9.968954284745635,23.72969063996603,7.251302351917113,252.6344303245628,groundnut
42,128,177,8.63612161263562,44.218591141197344,8.464305161644148,134.46788922055487,groundnut
38,101,27,11.699656735392145,99.84713075237835,7.571896623097199,213.9788217999362,groundnut
25,94,32,14.19910925925079,90.44045600951374,3.891198600236903,76.00455315443142,groundnut
98,43,115,23.515414238535314,18.155899161564136,5.344595195287023,292.51844245735424,maize
49,89,61,26.378729406758406,62.44000256900877,5.227871647595002,117.99930640013312,sugarcane
12,66,30,13.06130905424116,69.71271821490147,8.990194540826506,256.8427337373538,groundnut
59,110,157,23.292200294870707,32.019977659710804,8.706692266356582,284.70258433622837,maize
134,111,58,20.30295832373338,26.479079312094722,5.720887510102502,262.1199096050846,maize
56,58,33,14.603251165926418,91.77677758123501,3.9269315352954868,38.778942431280896,groundnut
35,130,101,8.246266933341088,97.31821396757039,8.8646439068284,202.0860040460317,groundnut
19,13,168,24.8126431947827,99.3027857294892,8.829139717785123,53.62539784003433,wheat
64,92,18,32.68346297354718,81.91951254117856,8.628476792184351,21.58564014722308,wheat
7,41,82,16.14598402917705,71.06117796885212,8.57048982641301,34.499364304058886,wheat
114,53,39,12.745045876280457,43.73280168859782,6.381524006516928,276.52177500517604,groundnut
91,45,34,39.93353880009063,28.74025485992871,4.564589913497589,274.36978399291024,rice
97,21,96,17.90089180956072,20.792331545495927,6.364928302774566,83.23082857392947,wheat
65,92,21,16.050054312535934,73.62358229542832,6.467586624016789,173.17714014361536,groundnut
31,25,199,38.855489825956965,81.48621370542482,6.4395905194691645,287.4079134344593,rice
85,55,162,37.4158555700034,85.07501411112828,6.732635516690697,159.0777163150935,maize
50,63,97,24.14047293888681,92.58379028412668,5.0459421379469305,130.20178964081222,sugarcane
62,45,177,25.612599011399883,89.67394247290012,5.69744708680169,155.30963433249488,maize
124,43,83,15.838953374024792,99.97774941419597,6.105119551780817,241.26041323454436,groundnut
57,15,114,10.81886013726407,34.98950494318361,4.286727257098999,153.63773710930587,groundnut
57,143,183,28.6435457128038,79.64445490825011,6.232184807369003,239.31775075906347,rice
85,81,106,11.540417177247672,64.4355180642326,8.362817702417559,140.87528477946123,groundnut
48,131,110,24.173883690439393,36.46708139100809,8.468357256397258,90.56158793918719,wheat
69,50,51,41.857899146468384,98.44385771667709,5.969382631406182,111.41236434921377,groundnut
14,49,185,42.30203801014104,91.21923701058569,6.612849872506121,41.79057009840646,wheat
53,5,68,16.61596231570491,25.052347486194016,3.70190199281034,159.2667204345974,groundnut
100,112,170,30.46808312164356,16.249617439814106,7.546595338811581,61.47105896892644,wheat
7,23,68,25.066745507882874,73.19644556061021,5.927635297681178,247.23316177372521,rice
52,80,91,39.524664593099814,65.95523408166201,6.172866098500075,137.76536076393035,sugarcane
59,76,11,17.771511113937915,94.48014367355854,8.742036363078588,234.20065071768246,groundnut
107,113,26,8.133286645967006,34.124454695791805,6.27100660736365,287.24891971081735,groundnut
4,16,85,13.852203413530944,21.257363518968887,3.6271534773671164,257.8538259197061,groundnut
102,49,173,20.58282084209833,36.29251870439084,4.864945345214374,286.4098303288295,maize
5,94,78,19.36596067173759,15.627777083985857,6.353723685849554,179.02222752380447,groundnut
108,107,142,36.48906508842389,17.08677660224819,6.046377756491214,66.29084151455172,wheat
115,12,189,32.50018398099816,92.67777130918533,8.662220823682883,281.91086717143617,rice
93,95,139,18.7840275061363,44.27342609516153,6.752825055837,263.18122936709585,groundnut
46,91,129,24.478777417983682,49.32957408683254,7.637814451490726,262.03563749874,maize
98,88,54,11.440127742500067,15.57996229027698,6.315939782260821,214.11683967444117,groundnut
54,86,56,40.333272013523626,37.26487309477881,6.13793440435499,194.97655341210225,maize
51,72,165,41.67529368014723,83.20643460176306,6.177720010846108,24.12268972117282,wheat
12,131,5,43.27292727371377,66.93222253133786,5.965529418163033,229.45513934467255,rice
113,86,185,39.267901908290156,78.82513169343171,6.731500315125221,45.62983289518561,wheat
123,88,192,14.262591957064119,52.460381708265515,5.002660410521623,92.73026210872123,groundnut
105,117,166,9.663073395258639,40.63671307061438,8.846331163050925,174.41728269837432,groundnut
119,80,8,28.865482186856262,55.52166802623985,5.498513288563237,146.48512376529166,cotton
62,126,149,40.85378096779198,41.7841118828946,4.385143005064081,24.41682913600487,wheat
18,45,136,14.384649019750743,86.15151431396984,4.079302871586471,250.71581636647946,groundnut
91,6,175,8.253544926469107,39.599939540984735,3.580537490720766,266.06426826405936,groundnut
57,33,8,36.99785765716079,70.73967307896521,6.037136471401169,210.92442417909473,rice
